Timestamp,Mode,Colony Size,Steps,Alpha,Beta,Rho,Noise Level,Distance Metric,Runtime (s),Distance
2025-05-18 17:22:52.901635,ACS,15,100,1.0,3.0,0.1,0.05,haversine,10.0434,9069.8543
2025-05-18 17:23:03.180510,Elitist,15,100,1.0,3.0,0.1,0.05,haversine,10.2154,8353.861
2025-05-18 17:23:13.376549,MaxMin,15,100,1.0,3.0,0.1,0.05,haversine,10.136,8460.1003
2025-05-18 17:25:54.822564,ACS,1,15,100,1.0,3.0,0.1,0.05,haversine,10.1039,8840.3099
2025-05-18 17:26:05.023356,ACS,2,15,100,1.0,3.0,0.1,0.05,haversine,10.1363,8401.4333
2025-05-18 17:26:15.161055,ACS,3,15,100,1.0,3.0,0.1,0.05,haversine,10.0762,8642.9127
2025-05-18 17:26:25.298116,ACS,4,15,100,1.0,3.0,0.1,0.05,haversine,10.0719,8843.7166
2025-05-18 17:26:35.594865,ACS,5,15,100,1.0,3.0,0.1,0.05,haversine,10.2357,8630.6809
2025-05-18 17:26:45.767193,ACS,6,15,100,1.0,3.0,0.1,0.05,haversine,10.0873,9364.442
2025-05-18 17:26:56.014884,ACS,7,15,100,1.0,3.0,0.1,0.05,haversine,10.1851,8578.3999
2025-05-18 17:27:06.231395,ACS,8,15,100,1.0,3.0,0.1,0.05,haversine,10.1499,9156.823
2025-05-18 17:27:16.340733,ACS,9,15,100,1.0,3.0,0.1,0.05,haversine,10.0318,9737.8991
2025-05-18 17:27:26.586557,ACS,10,15,100,1.0,3.0,0.1,0.05,haversine,10.1603,9076.8169
2025-05-18 17:27:36.655823,Elitist,1,15,100,1.0,3.0,0.1,0.05,haversine,10.0048,8587.7763
2025-05-18 17:27:46.884093,Elitist,2,15,100,1.0,3.0,0.1,0.05,haversine,10.1672,8617.772
2025-05-18 17:27:57.081938,Elitist,3,15,100,1.0,3.0,0.1,0.05,haversine,10.1333,8604.32
2025-05-18 17:28:07.199947,Elitist,4,15,100,1.0,3.0,0.1,0.05,haversine,10.0483,9300.7077
2025-05-18 17:28:17.319826,Elitist,5,15,100,1.0,3.0,0.1,0.05,haversine,10.0594,8861.6051
2025-05-18 17:28:27.402585,Elitist,6,15,100,1.0,3.0,0.1,0.05,haversine,10.0193,8882.3177
2025-05-18 17:28:37.529848,Elitist,7,15,100,1.0,3.0,0.1,0.05,haversine,10.0647,9562.4459
2025-05-18 17:28:47.747388,Elitist,8,15,100,1.0,3.0,0.1,0.05,haversine,10.1079,9887.0694
2025-05-18 17:28:57.966095,Elitist,9,15,100,1.0,3.0,0.1,0.05,haversine,10.1527,9214.0657
2025-05-18 17:29:08.073077,Elitist,10,15,100,1.0,3.0,0.1,0.05,haversine,10.0264,10342.4085
2025-05-18 17:29:18.333711,MaxMin,1,15,100,1.0,3.0,0.1,0.05,haversine,10.162,9851.8038
2025-05-18 17:29:28.472894,MaxMin,2,15,100,1.0,3.0,0.1,0.05,haversine,10.0431,11527.85
2025-05-18 17:29:38.720209,MaxMin,3,15,100,1.0,3.0,0.1,0.05,haversine,10.1315,11219.089
2025-05-18 17:29:48.986995,MaxMin,4,15,100,1.0,3.0,0.1,0.05,haversine,10.1983,9446.8839
2025-05-18 17:29:59.161124,MaxMin,5,15,100,1.0,3.0,0.1,0.05,haversine,10.0869,9871.8863
2025-05-18 17:30:09.342723,MaxMin,6,15,100,1.0,3.0,0.1,0.05,haversine,10.1101,9024.9573
2025-05-18 17:30:19.490150,MaxMin,7,15,100,1.0,3.0,0.1,0.05,haversine,10.0835,8683.6615
2025-05-18 17:30:29.620036,MaxMin,8,15,100,1.0,3.0,0.1,0.05,haversine,10.063,8907.58
2025-05-18 17:30:39.806097,MaxMin,9,15,100,1.0,3.0,0.1,0.05,haversine,10.1231,9041.9008
2025-05-18 17:30:49.911508,MaxMin,10,15,100,1.0,3.0,0.1,0.05,haversine,10.0384,8554.4499
